Название;Цена;Ссылка
Чёрный чай Curtis, Immuno, грейпфрут, лайм и мандарин, в пирамидках;155;https://samokat.ru/product/6a80c09c-88b9-11eb-85a3-1c34dae33151
Зелёный чай Curtis, Fresh Mojito, в пирамидках;125;https://samokat.ru/product/c2c15311-c82b-11ea-b7de-0050560306e1
Белый чай Curtis, White Bountea, питахайя и яблоко, с лепестками роз, в пакетиках;140;https://samokat.ru/product/3a59c61d-9c7d-11ec-b967-08c0eb32008b
Травяной чай Самокат, зверобой, чабрец и душица, в пирамидках;214;https://samokat.ru/product/19e00b27-f906-11eb-a0ee-ec0d9a21b021
Чёрный чай Tess, Pleasure, листовой, шиповник и яблоко;175;https://samokat.ru/product/2c8f3bb4-7c98-11e9-80c7-0cc47a817925
Чёрный чай Greenfield, Golden Ceylon, листовой;420;https://samokat.ru/product/45d6928e-fa98-11e8-80c5-0cc47a817925
Чёрный чай Вкусы мира, среднелистовой, цветочное манго;129;https://samokat.ru/product/6229969c-f713-11ee-8861-08c0eb32014b
Чёрный чай Вкусы мира, среднелистовой, апельсин и мята;119;https://samokat.ru/product/6e2050cd-f713-11ee-8861-08c0eb32014b
Чёрный чай Greenfield, Barberry Garden, листовой;149;https://samokat.ru/product/b26e2985-0171-11eb-8599-1c34dae33151
Чёрный чай Be Fruit Be, крупнолистовой, с соком и кусочками ананаса, с манго и маракуйей;319;https://samokat.ru/product/e70baa01-6eab-11ef-b10b-08c0eb31fffb
Чёрный чай Ahmad Tea Earl Grey, с бергамотом, в пакетиках;149;https://samokat.ru/product/7b5e3534-1907-11eb-8599-1c34dae33151
Чёрный чай Richard Energy, с мате, каламанси, вербеной и гуараной, в пакетиках;145;https://samokat.ru/product/adf75ee5-6911-11ee-ae79-08c0eb320147
Чёрный чай Greenfield, Golden Ceylon, в пакетиках;149;https://samokat.ru/product/33eae9e5-fa98-11e8-80c5-0cc47a817925
Чёрный чай Richard, Royal Ceylon, в пакетиках;428;https://samokat.ru/product/48a323e2-d56b-11e9-83c7-005056030656
Чёрный чай Greenfield, Earl Grey Fantasy, в пакетиках;149;https://samokat.ru/product/33eae9e9-fa98-11e8-80c5-0cc47a817925
Чёрный чай Curtis, Immuno, грейпфрут, лайм и мандарин, в пирамидках;155;https://samokat.ru/product/6a80c09c-88b9-11eb-85a3-1c34dae33151
Зелёный чай Curtis, Fresh Mojito, в пирамидках;125;https://samokat.ru/product/c2c15311-c82b-11ea-b7de-0050560306e1
Белый чай Curtis, White Bountea, питахайя и яблоко, с лепестками роз, в пакетиках;140;https://samokat.ru/product/3a59c61d-9c7d-11ec-b967-08c0eb32008b
Ассорти чая Curtis, Dessert Tea Collection, 6 вкусов, в пакетиках;489;https://samokat.ru/product/ac5c0c87-5a4e-11eb-85a3-1c34dae33151
Иван-чай Самокат, с малиной, в пирамидках;249;https://samokat.ru/product/545c0797-e79f-11ea-8599-1c34dae33151
Чёрный чай Самокат, 1001 сказка, с добавками, в пирамидках;325;https://samokat.ru/product/f1abced5-2299-11eb-8599-1c34dae33151
Чайный напиток Самокат Для крепкого сна, травяной, в пирамидках;299;https://samokat.ru/product/523b19ac-eaf7-11eb-a0ee-ec0d9a21b021
Чёрный чай Самокат, вишня и липа, в пирамидках;229;https://samokat.ru/product/35b85def-b9b0-11ec-ae6e-08c0eb320147
Зелёный чай Самокат, клюква и смородина, в пирамидках;219;https://samokat.ru/product/35b85df1-b9b0-11ec-ae6e-08c0eb320147
Манговый улун Самокат, крупнолистовой;219;https://samokat.ru/product/e2799161-7256-11ee-b972-08c0eb32008b
Чайный напиток Самокат, Габа Алишань, красный;329;https://samokat.ru/product/373dab57-3589-11ec-85ad-1c34dae33151
Гречишный чайный напиток Самокат, без кофеина;155;https://samokat.ru/product/dc8112b3-7256-11ee-b972-08c0eb32008b
Северный чай Самокат, ассорти, апельсин, клюква и облепиха, заморозка;299;https://samokat.ru/product/c1c1b81c-5731-11ec-a0ee-ec0d9a21b021
Чёрный чай Самокат, с лемонграссом, мятой и цедрой лимона, в пирамидках;249;https://samokat.ru/product/b89b3122-bcd5-11ec-b96b-08c0eb32008b
Улун Самокат, в пирамидках;205;https://samokat.ru/product/a7ad09fa-bbee-11ec-b96b-08c0eb32008b
Иван-чай Самокат, с мятой, в пирамидках;249;https://samokat.ru/product/022c9d93-e79f-11ea-8599-1c34dae33151
Травяной чай Самокат, зверобой, чабрец и душица, в пирамидках;214;https://samokat.ru/product/19e00b27-f906-11eb-a0ee-ec0d9a21b021
Травяной чай Самокат, саган-дайля и чага, лист смородины и лимонная трава, в пирамидках;249;https://samokat.ru/product/19e00b29-f906-11eb-a0ee-ec0d9a21b021
Чёрный чай Самокат, цейлонский, высокогорный;229;https://samokat.ru/product/523b19aa-eaf7-11eb-a0ee-ec0d9a21b021
Чёрный чай Самокат, Гуава Маргарита, с добавками, в пирамидках;345;https://samokat.ru/product/1314e2c1-229a-11eb-8599-1c34dae33151
Иван-чай Самокат, со смородиной, в пирамидках;249;https://samokat.ru/product/0f6857a4-4501-11eb-85a3-1c34dae33151
Зелёный чай Самокат, Четыре ягоды, с добавками, в пирамидках;309;https://samokat.ru/product/3420fe9e-229a-11eb-8599-1c34dae33151
Чёрный чай Самокат, с ароматом бергамота, 100 пакетиков;379;https://samokat.ru/product/04ca6ee9-9e85-11ee-b973-08c0eb32008b
Чёрный чай Самокат, цейлонский, в пакетиках;339;https://samokat.ru/product/b58d2147-a017-11ee-ae7a-08c0eb320147
Молочный улун Самокат, с листьями земляники, в пакетиках;339;https://samokat.ru/product/af8713d0-a017-11ee-ae7a-08c0eb320147
Зелёный чай Самокат, жасмин, в пакетиках;379;https://samokat.ru/product/ebf9af89-9e84-11ee-b973-08c0eb32008b
Чёрный чай Самокат, с бергамотом, 25 пакетиков;139;https://samokat.ru/product/f83e2597-9e84-11ee-b973-08c0eb32008b
Чёрный чай Самокат, с чабрецом, в пакетиках;379;https://samokat.ru/product/2ffdb653-9e85-11ee-b973-08c0eb32008b
Чёрный чай Самокат, цейлонский, высокогорный;229;https://samokat.ru/product/523b19aa-eaf7-11eb-a0ee-ec0d9a21b021
Чёрный чай Азерчай, Букет, байховый;235;https://samokat.ru/product/bd23edac-0436-11ed-b96c-08c0eb32008b
Чёрный чай Tess, Pleasure, листовой, шиповник и яблоко;175;https://samokat.ru/product/2c8f3bb4-7c98-11e9-80c7-0cc47a817925
Чёрный чай Greenfield, Golden Ceylon, листовой;420;https://samokat.ru/product/45d6928e-fa98-11e8-80c5-0cc47a817925
Чёрный чай Akbar, крупнолистовой, смородина и мята;599;https://samokat.ru/product/88bd35cb-9b54-11ee-b973-08c0eb32008b
Чёрный чай Вкусы мира, среднелистовой, цветочное манго;129;https://samokat.ru/product/6229969c-f713-11ee-8861-08c0eb32014b
Чёрный чай Вкусы мира, среднелистовой, апельсин и мята;119;https://samokat.ru/product/6e2050cd-f713-11ee-8861-08c0eb32014b
Чёрный чай Greenfield, Barberry Garden, листовой;149;https://samokat.ru/product/b26e2985-0171-11eb-8599-1c34dae33151
Чёрный чай Be Fruit Be, крупнолистовой, с соком и кусочками ананаса, с манго и маракуйей;319;https://samokat.ru/product/e70baa01-6eab-11ef-b10b-08c0eb31fffb
Чёрный чай Самокат, 1001 сказка, с добавками, в пирамидках;325;https://samokat.ru/product/f1abced5-2299-11eb-8599-1c34dae33151
Чёрный чай Самокат, вишня и липа, в пирамидках;229;https://samokat.ru/product/35b85def-b9b0-11ec-ae6e-08c0eb320147
Чёрный чай Самокат, с лемонграссом, мятой и цедрой лимона, в пирамидках;249;https://samokat.ru/product/b89b3122-bcd5-11ec-b96b-08c0eb32008b
Чёрный чай Самокат, Гуава Маргарита, с добавками, в пирамидках;345;https://samokat.ru/product/1314e2c1-229a-11eb-8599-1c34dae33151
Чёрный чай Самокат, с ароматом бергамота, 100 пакетиков;379;https://samokat.ru/product/04ca6ee9-9e85-11ee-b973-08c0eb32008b
Чёрный чай Самокат, цейлонский, в пакетиках;339;https://samokat.ru/product/b58d2147-a017-11ee-ae7a-08c0eb320147
Чёрный чай Самокат, с бергамотом, 25 пакетиков;139;https://samokat.ru/product/f83e2597-9e84-11ee-b973-08c0eb32008b
Чёрный чай Самокат, с чабрецом, в пакетиках;379;https://samokat.ru/product/2ffdb653-9e85-11ee-b973-08c0eb32008b
Чёрный чай Ahmad Tea Earl Grey, с бергамотом, в пакетиках;149;https://samokat.ru/product/7b5e3534-1907-11eb-8599-1c34dae33151
Чёрный чай Richard Energy, с мате, каламанси, вербеной и гуараной, в пакетиках;145;https://samokat.ru/product/adf75ee5-6911-11ee-ae79-08c0eb320147
Чёрный чай Greenfield, Golden Ceylon, в пакетиках;149;https://samokat.ru/product/33eae9e5-fa98-11e8-80c5-0cc47a817925
Чёрный чай Richard, Royal Ceylon, в пакетиках;428;https://samokat.ru/product/48a323e2-d56b-11e9-83c7-005056030656
Чёрный чай Greenfield, Earl Grey Fantasy, в пакетиках;149;https://samokat.ru/product/33eae9e9-fa98-11e8-80c5-0cc47a817925
Из Шри-Ланки: Чёрный чай McCoy Teas, Earl Grey, в пакетиках;219;https://samokat.ru/product/123c169b-be85-11ed-b970-08c0eb32008b
Чёрный чай Richard, Royal English Breakfast, в пакетиках;428;https://samokat.ru/product/48a323e4-d56b-11e9-83c7-005056030656
Чёрный чай Greenfield, Spring Melody, в пакетиках;149;https://samokat.ru/product/33eae9ed-fa98-11e8-80c5-0cc47a817925
Чёрный чай Greenfield, Spring Melody, в пакетиках;496;https://samokat.ru/product/cbd00d5d-43ed-11e9-80c5-0cc47a817925
Чёрный чай Floris, ассорти тизанов, 5 вкусов, в пакетиках;179;https://samokat.ru/product/5842bd0d-de8c-11ed-885e-08c0eb32014b
Из Шри-Ланки: Чёрный чай McCoy Teas, English Breakfast, в пакетиках;219;https://samokat.ru/product/18b754a2-be85-11ed-b970-08c0eb32008b
Чёрный чай Curtis, Immuno, грейпфрут, лайм и мандарин, в пирамидках;155;https://samokat.ru/product/6a80c09c-88b9-11eb-85a3-1c34dae33151
Чёрный чай Greenfield, Golden Ceylon, в пакетиках;496;https://samokat.ru/product/270aff1c-0179-11eb-8599-1c34dae33151
Чёрный чай Herbarus, Английский завтрак, в пакетиках;179;https://samokat.ru/product/90ff793a-b493-11ee-ae7a-08c0eb320147
Чёрный чай Ahmad Tea, Classic Black, в пакетиках;339;https://samokat.ru/product/d0096ba1-8066-11ed-b109-08c0eb31fffb
Манговый улун Самокат, крупнолистовой;219;https://samokat.ru/product/e2799161-7256-11ee-b972-08c0eb32008b
Зелёный чай Be Fruit Be, крупнолистовой, с соком, кусочками имбиря и лемонграссом;319;https://samokat.ru/product/0a3a0947-6eac-11ef-b10b-08c0eb31fffb
Зелёный чай Самокат, клюква и смородина, в пирамидках;219;https://samokat.ru/product/35b85df1-b9b0-11ec-ae6e-08c0eb320147
Улун Самокат, в пирамидках;205;https://samokat.ru/product/a7ad09fa-bbee-11ec-b96b-08c0eb32008b
Зелёный чай Самокат, Четыре ягоды, с добавками, в пирамидках;309;https://samokat.ru/product/3420fe9e-229a-11eb-8599-1c34dae33151
Молочный улун Самокат, с листьями земляники, в пакетиках;339;https://samokat.ru/product/af8713d0-a017-11ee-ae7a-08c0eb320147
Зелёный чай Самокат, жасмин, в пакетиках;379;https://samokat.ru/product/ebf9af89-9e84-11ee-b973-08c0eb32008b
Зелёный чай Curtis, Fresh Mojito, в пирамидках;125;https://samokat.ru/product/c2c15311-c82b-11ea-b7de-0050560306e1
Из Шри-Ланки: Зелёный чай McCoy Teas, в пакетиках;199;https://samokat.ru/product/18b754a8-be85-11ed-b970-08c0eb32008b
Зелёный чай Greenfield, Green Melissa, в пакетиках;496;https://samokat.ru/product/1c06d42c-fa98-11e8-80c5-0cc47a817925
Зелёный чай Greenfield, Jasmine Dream, в пакетиках;149;https://samokat.ru/product/33eae9e8-fa98-11e8-80c5-0cc47a817925
Зелёный чай Niktea, Энерджи, энергетик, в пакетиках;299;https://samokat.ru/product/78b56b3e-86ea-11ef-8861-08c0eb32014b
Чайный напиток Самокат, Габа Алишань, красный;329;https://samokat.ru/product/373dab57-3589-11ec-85ad-1c34dae33151
Чайный напиток Floris, липа и бузина;149;https://samokat.ru/product/325b6664-cb4e-11ee-b10b-08c0eb31fffb
Чёрный чай Be Fruit Be, крупнолистовой, с соком и кусочками ананаса, с манго и маракуйей;319;https://samokat.ru/product/e70baa01-6eab-11ef-b10b-08c0eb31fffb
Зелёный чай Be Fruit Be, крупнолистовой, с соком, кусочками имбиря и лемонграссом;319;https://samokat.ru/product/0a3a0947-6eac-11ef-b10b-08c0eb31fffb
Иван-чай Самокат, с малиной, в пирамидках;249;https://samokat.ru/product/545c0797-e79f-11ea-8599-1c34dae33151
Чайный напиток Самокат Для крепкого сна, травяной, в пирамидках;299;https://samokat.ru/product/523b19ac-eaf7-11eb-a0ee-ec0d9a21b021
Иван-чай Самокат, с мятой, в пирамидках;249;https://samokat.ru/product/022c9d93-e79f-11ea-8599-1c34dae33151
Травяной чай Самокат, зверобой, чабрец и душица, в пирамидках;214;https://samokat.ru/product/19e00b27-f906-11eb-a0ee-ec0d9a21b021
Травяной чай Самокат, саган-дайля и чага, лист смородины и лимонная трава, в пирамидках;249;https://samokat.ru/product/19e00b29-f906-11eb-a0ee-ec0d9a21b021
Иван-чай Самокат, со смородиной, в пирамидках;249;https://samokat.ru/product/0f6857a4-4501-11eb-85a3-1c34dae33151
Белый чай Curtis, White Bountea, питахайя и яблоко, с лепестками роз, в пакетиках;140;https://samokat.ru/product/3a59c61d-9c7d-11ec-b967-08c0eb32008b
Ассорти чая Niktea, Брайт, чёрный, травяной, фруктовый и зелёный, в пакетиках;219;https://samokat.ru/product/09e30566-782a-11eb-85a3-1c34dae33151
Травяной чай Niktea, клубничная панна-котта, в пирамидках;299;https://samokat.ru/product/ca2da5e2-d579-11ee-8861-08c0eb32014b
Гречишный чайный напиток Самокат, без кофеина;155;https://samokat.ru/product/dc8112b3-7256-11ee-b972-08c0eb32008b
Набор для чайных коктейлей Tess, Коктейль микс, в пакетиках;249;https://samokat.ru/product/4de0b99c-68ea-11ee-b10a-08c0eb31fffb
Подарочный набор травяного чая Floris, 8 видов;449;https://samokat.ru/product/beb1b17e-69c6-11ee-b972-08c0eb32008b
Набор чая Greenfield, 6 вкусов, 30 пакетиков;469;https://samokat.ru/product/5c383374-68ea-11ee-b10a-08c0eb31fffb
Набор чая Tess Tea Bag Collection, 12 вкусов, в пакетиках;649;https://samokat.ru/product/7ab552bb-ef26-11ed-885e-08c0eb32014b
Ассорти чая Herbarus Collection, Secret Holiday, в пакетиках;289;https://samokat.ru/product/143f320d-4279-11ef-b973-08c0eb32008b
Ассорти чая Curtis, Dessert Tea Collection, 6 вкусов, в пакетиках;489;https://samokat.ru/product/ac5c0c87-5a4e-11eb-85a3-1c34dae33151
Безалкогольный гранатовый глинтвейн Самокат, заморозка;119;https://samokat.ru/product/76ee43a5-8201-4a69-be9a-039935a42fd6
Северный чай Самокат, ассорти, апельсин, клюква и облепиха, заморозка;299;https://samokat.ru/product/c1c1b81c-5731-11ec-a0ee-ec0d9a21b021
Подсластитель Самокат, в таблетках;211;https://samokat.ru/product/f0caa98a-3295-11ee-b10a-08c0eb31fffb
Сахар Русский, песок, ГОСТ;89;https://samokat.ru/product/579b1aeb-de2f-11ea-8599-1c34dae33151
Сахар Русский, кусковой;95;https://samokat.ru/product/2de6d964-2863-11e9-80c5-0cc47a817925
